date,cash,total_value,shares_BMNR,shares_BE,shares_OKLO,shares_IREN,shares_SNDK
2024-04-03,40009.798409461975,96501.62807703018,0,1355,1886,2941,0
2024-04-04,40009.798409461975,97254.8083114624,0,1355,1886,2941,0
2024-04-05,40009.798409461975,97025.94827985764,0,1355,1886,2941,0
2024-04-08,40009.798409461975,102003.75662517548,0,1355,1886,2941,0
2024-04-09,40009.798409461975,97547.36894989014,0,1355,1886,2941,0
2024-04-10,40009.798409461975,94733.41893720627,0,1355,1886,2941,0
2024-04-11,40009.798409461975,95337.7276597023,0,1355,1886,2941,0
2024-04-12,40009.798409461975,92303.50881147385,0,1355,1886,2941,0
2024-04-15,40009.798409461975,90194.5278749466,0,1355,1886,2941,0
2024-04-16,40009.798409461975,90180.46878767014,0,1355,1886,2941,0
2024-04-17,40009.798409461975,90475.49830818176,0,1355,1886,2941,0
2024-04-18,40009.798409461975,90880.54804849625,0,1355,1886,2941,0
2024-04-19,40009.798409461975,91191.39800357819,0,1355,1886,2941,0
2024-04-22,40009.798409461975,92569.18852519989,0,1355,1886,2941,0
2024-04-23,40009.798409461975,94258.22808170319,0,1355,1886,2941,0
2024-04-24,40009.798409461975,93784.6481552124,0,1355,1886,2941,0
2024-04-25,40009.798409461975,92673.01889228821,0,1355,1886,2941,0
2024-04-26,40009.798409461975,93472.73949337006,0,1355,1886,2941,0
2024-04-29,40009.798409461975,95890.65841150284,0,1355,1886,2941,0
2024-04-30,40009.798409461975,93768.52858161926,0,1355,1886,2941,0
2024-05-01,40009.798409461975,94360.21796226501,0,1355,1886,2941,0
2024-05-02,40009.798409461975,93111.02913713455,0,1355,1886,2941,0
2024-05-03,40009.798409461975,97879.10858011246,0,1355,1886,2941,0
2024-05-06,40009.798409461975,100323.79835224152,0,1355,1886,2941,0
2024-05-07,40009.798409461975,97914.25982236862,0,1355,1886,2941,0
2024-05-08,40009.798409461975,99696.74914836884,0,1355,1886,2941,0
2024-05-09,40009.798409461975,105327.78762865067,0,1355,1886,2941,0
2024-05-10,40009.798409461975,85155.68773078918,0,1355,1886,2941,0
2024-05-13,40009.798409461975,88350.11925077438,0,1355,1886,2941,0
2024-05-14,40009.798409461975,92309.48759651184,0,1355,1886,2941,0
2024-05-15,40009.798409461975,92097.5182466507,0,1355,1886,2941,0
2024-05-16,40009.798409461975,91908.51821231842,0,1355,1886,2941,0
2024-05-17,40009.798409461975,91414.6286816597,0,1355,1886,2941,0
2024-05-20,40009.798409461975,90856.51933717728,0,1355,1886,2941,0
2024-05-21,40009.798409461975,96306.18895292282,0,1355,1886,2941,0
2024-05-22,40009.798409461975,99370.7187948227,0,1355,1886,2941,0
2024-05-23,40009.798409461975,96431.55858182907,0,1355,1886,2941,0
2024-05-24,40009.798409461975,104253.67870616913,0,1355,1886,2941,0
2024-05-28,40009.798409461975,105962.37887525558,0,1355,1886,2941,0
2024-05-29,40009.798409461975,104605.31785297394,0,1355,1886,2941,0
2024-05-30,40009.798409461975,103737.88663005829,0,1355,1886,2941,0
2024-05-31,40009.798409461975,104025.80730819702,0,1355,1886,2941,0
2024-06-03,40009.798409461975,102399.98833751678,0,1355,1886,2941,0
2024-06-04,40009.798409461975,102670.40946388245,0,1355,1886,2941,0
2024-06-05,40009.798409461975,105045.40034484863,0,1355,1886,2941,0
2024-06-06,40009.798409461975,107006.39940929413,0,1355,1886,2941,0
2024-06-07,40009.798409461975,106834.82855033875,0,1355,1886,2941,0
2024-06-10,40009.798409461975,107900.96015834808,0,1355,1886,2941,0
2024-06-11,40009.798409461975,114140.09917163849,0,1355,1886,2941,0
2024-06-12,40009.798409461975,119842.59917926788,0,1355,1886,2941,0
2024-06-13,40009.798409461975,120018.05843734741,0,1355,1886,2941,0
2024-06-14,40009.798409461975,116148.5291633606,0,1355,1886,2941,0
2024-06-17,40009.798409461975,119137.8968706131,0,1355,1886,2941,0
2024-06-18,40009.798409461975,118185.03797912598,0,1355,1886,2941,0
2024-06-20,40009.798409461975,117488.48788547516,0,1355,1886,2941,0
2024-06-21,40009.798409461975,113449.09807395935,0,1355,1886,2941,0
2024-06-24,40009.798409461975,113049.54929924011,0,1355,1886,2941,0
2024-06-25,40009.798409461975,114009.24703502655,0,1355,1886,2941,0
2024-06-26,40009.798409461975,110056.8088092804,0,1355,1886,2941,0
2024-06-27,40009.798409461975,108497.54903697968,0,1355,1886,2941,0
2024-06-28,40009.798409461975,105773.30849075317,0,1355,1886,2941,0
2024-07-01,40009.798409461975,107619.56791782379,0,1355,1886,2941,0
2024-07-02,40009.798409461975,112136.46850204468,0,1355,1886,2941,0
2024-07-03,40009.798409461975,113829.40004825592,0,1355,1886,2941,0
2024-07-05,40009.798409461975,115117.72759723663,0,1355,1886,2941,0
2024-07-08,40009.798409461975,113846.2986831665,0,1355,1886,2941,0
2024-07-09,40009.798409461975,108810.19749832153,0,1355,1886,2941,0
2024-07-10,40009.798409461975,109965.7779417038,0,1355,1886,2941,0
2024-07-11,40009.798409461975,105229.20812511444,0,1355,1886,2941,0
2024-07-12,40009.798409461975,111381.31935787201,0,1355,1886,2941,0
2024-07-15,40009.798409461975,111434.71352481842,0,1355,1886,2941,0
2024-07-16,40009.798409461975,113350.79954624176,0,1355,1886,2941,0
2024-07-17,40009.798409461975,110577.53893661499,0,1355,1886,2941,0
2024-07-18,40009.798409461975,105921.39704990387,0,1355,1886,2941,0
2024-07-19,40009.798409461975,108695.45873641968,0,1355,1886,2941,0
2024-07-22,40009.798409461975,110368.18861675262,0,1355,1886,2941,0
2024-07-23,40009.798409461975,109937.97852230072,0,1355,1886,2941,0
2024-07-24,40009.798409461975,105994.72270870209,0,1355,1886,2941,0
2024-07-25,40009.798409461975,103225.08839893341,0,1355,1886,2941,0
2024-07-26,40009.798409461975,105079.18824768066,0,1355,1886,2941,0
2024-07-29,40009.798409461975,103859.70907115936,0,1355,1886,2941,0
2024-07-30,40009.798409461975,102016.18768501282,0,1355,1886,2941,0
2024-07-31,40009.798409461975,105134.96817970276,0,1355,1886,2941,0
2024-08-01,40009.798409461975,100073.8685131073,0,1355,1886,2941,0
2024-08-02,40009.798409461975,96783.00722980499,0,1355,1886,2941,0
2024-08-05,40009.798409461975,93833.91797733307,0,1355,1886,2941,0
2024-08-06,40009.798409461975,92594.94833278656,0,1355,1886,2941,0
2024-08-07,40009.798409461975,87375.01863765717,0,1355,1886,2941,0
2024-08-08,40009.798409461975,90373.17847299576,0,1355,1886,2941,0
2024-08-09,40009.798409461975,91791.79834079742,0,1355,1886,2941,0
2024-08-12,40009.798409461975,90693.57901000977,0,1355,1886,2941,0
2024-08-13,40009.798409461975,91690.56780767441,0,1355,1886,2941,0
2024-08-14,40009.798409461975,91145.05845451355,0,1355,1886,2941,0
2024-08-15,40009.798409461975,92300.3867764473,0,1355,1886,2941,0
2024-08-16,40009.798409461975,93344.97775888443,0,1355,1886,2941,0
