date,cash,total_value,shares_BMNR,shares_BE,shares_OKLO,shares_IREN,shares_SNDK
2024-12-18,100045.92583274841,100045.92583274841,0,0,0,0,0
2024-12-19,40016.488454818726,100045.92583274841,0,0,2864,0,0
2024-12-20,101649.76976585388,101649.76976585388,0,0,0,0,0
2024-12-23,40029.41879463196,101649.76976585388,0,1273,0,2739,0
2024-12-24,103349.0998468399,103349.0998468399,0,0,0,0,0
2024-12-26,40023.14951992035,103349.0998468399,0,1301,0,2793,0
2024-12-27,99729.07913017273,99729.07913017273,0,0,0,0,0
2024-12-30,40009.56165122986,99729.07913017273,0,0,0,6008,0
2024-12-31,40018.36224937439,99008.11981773376,0,2656,0,0,0
2025-01-02,40027.263823509216,102089.0844783783,0,0,1420,2967,0
2025-01-03,40029.6042432785,112368.04427623749,0,1487,0,3190,0
2025-01-06,40007.192088127136,115464.66502285004,0,0,0,6411,0
2025-01-07,40029.11309528351,112964.37282180786,0,970,824,2137,0
2025-01-08,107660.46346187592,107660.46346187592,0,0,0,0,0
2025-01-10,40009.443680763245,107660.46346187592,0,2869,0,0,0
2025-01-13,40006.69540977478,106082.5156507492,0,0,0,6317,0
2025-01-14,40018.089467048645,109304.18709659576,0,3107,0,0,0
2025-01-15,40005.93711948395,110391.6382818222,0,0,0,6094,0
2025-01-16,40021.077538490295,109782.23595714569,0,2961,0,0,0
2025-01-17,40011.279116630554,110848.19776439667,0,0,0,5908,0
2025-01-21,40014.020356178284,103876.76159572601,0,1240,0,2954,0
2025-01-22,40036.65163898468,106114.86075687408,0,1294,967,0,0
2025-01-23,40005.73215198517,113341.89055728912,0,0,0,5972,0
2025-01-24,40015.41133213043,119552.7703294754,0,1334,951,0,0
2025-01-27,40012.641463279724,99509.30201435089,0,1327,0,2948,0
2025-01-28,40008.561161994934,96799.28073215485,0,0,0,5634,0
2025-01-29,40012.94092655182,96235.8785829544,0,1256,0,2817,0
2025-01-30,40003.36095428467,98569.1620388031,0,0,0,5686,0
2025-01-31,40008.26180744171,98114.28247261047,0,1232,0,2843,0
2025-02-03,40007.5806016922,99409.7422990799,0,0,0,5562,0
2025-02-04,40017.04073047638,99409.7422990799,0,2570,0,0,0
2025-02-05,102365.2413187027,102365.2413187027,0,0,0,0,0
2025-02-06,40018.7595911026,102365.2413187027,0,2516,0,0,0
2025-02-07,40049.969433784485,102365.2413187027,0,0,1123,0,0
2025-02-10,40011.3403711319,100388.75891971588,0,2378,0,0,0
2025-02-11,40008.35755252838,97249.79964542389,0,0,1143,0,0
2025-02-12,40008.35755252838,102164.6987733841,0,0,1143,0,0
2025-02-13,20028.35755252838,102907.64615726471,0,0,1143,0,555
2025-02-14,20010.028237342834,100513.76717853546,0,1584,765,0,0
2025-02-18,20019.720089912415,99621.05791187286,0,0,1586,0,0
2025-02-19,20051.678959846497,91580.03839588165,0,900,528,1835,0
2025-02-20,20007.8182888031,88647.75804328918,0,0,1609,0,0
2025-02-21,82420.9297618866,82420.9297618866,0,0,0,0,0
2025-02-24,20036.36855506897,82420.9297618866,0,0,915,3071,0
2025-02-25,20002.539169311523,76343.79745578766,0,0,0,6417,0
2025-02-26,20002.539169311523,74482.86770057678,0,0,0,6417,0
2025-02-27,20034.979499340057,70440.16002607346,0,1094,778,0,0
2025-02-28,72290.27952528,72290.27952528,0,0,0,0,0
2025-03-03,20016.839354991913,72290.27952528,0,2232,0,0,0
2025-03-04,20006.901314258575,70683.24105787277,0,0,0,6721,0
2025-03-05,20004.642249584198,74178.16413450241,0,2246,0,0,0
2025-03-06,20002.611941814423,70292.58087873459,0,1123,0,3300,0
2025-03-07,20003.252498149872,71331.45122671127,0,0,0,6666,0
2025-03-10,20013.21129846573,64132.17173528671,0,975,0,3333,0
2025-03-11,20013.21129846573,67885.86193418503,0,975,0,3333,0
2025-03-12,67413.7804274559,67413.7804274559,0,0,0,0,0
2025-03-13,20001.780427455902,67413.7804274559,0,0,0,7024,0
2025-03-14,20016.392116069794,70644.82069540024,0,2069,0,0,0
2025-03-17,20001.503221035004,70065.503221035,0,0,1788,0,0
2025-03-18,20001.503221035004,66525.26403951645,0,0,1788,0,0
2025-03-19,20020.89307165146,70154.90185689926,0,1031,0,3482,0
2025-03-20,20004.862201213837,71323.8230471611,0,0,1848,0,0
2025-03-21,20004.20172548294,70196.54191923141,0,0,924,3510,0
2025-03-24,20008.580129146576,75556.94178533554,0,2412,0,0,0
2025-03-25,20019.650571346283,75749.90160131454,0,1206,963,0,0
2025-03-26,20013.75125360489,72283.64220762253,0,1173,0,3895,0
2025-03-27,20013.75125360489,70969.72113370895,0,1173,0,3895,0
2025-03-28,20026.461875915527,67503.49183273315,0,778,707,2608,0
2025-03-31,20001.171922683716,66497.07156181335,0,2365,0,0,0
2025-04-01,20029.67088699341,70233.77138137817,0,1182,1114,0,0
2025-04-02,20015.710731506348,70281.31272888184,0,2380,0,0,0
2025-04-03,20011.87105846405,66044.91109466553,0,1190,0,3811,0
2025-04-04,20011.87105846405,62403.211730480194,0,1190,0,3811,0
2025-04-07,20008.551792144775,62936.151222229004,0,2490,0,0,0
2025-04-08,20008.551792144775,62388.35293197632,0,2490,0,0,0
2025-04-09,20007.80247735977,64504.85388183594,0,1245,0,3771,0
2025-04-10,20001.941145420074,61688.84208917618,0,2474,0,0,0
