date,cash,total_value,shares_BMNR,shares_BE,shares_OKLO,shares_IREN,shares_SNDK
2024-12-16,40001.206241607666,169574.45435142517,0,4955,0,0,0
2024-12-17,40021.899421691895,162736.55850982666,0,2477,0,4469,0
2024-12-18,40005.356605529785,152341.28766536713,0,0,0,9261,0
2024-12-19,145719.67125225067,145719.67125225067,0,0,0,0,0
2024-12-20,40013.429003715515,145719.67125225067,0,0,4912,0,0
2024-12-23,40013.429003715515,148175.67125225067,0,0,4912,0,0
2024-12-24,40013.429003715515,155985.7520017624,0,0,4912,0,0
2024-12-26,40013.429003715515,158097.91350078583,0,0,4912,0,0
2024-12-27,40013.429003715515,151908.79237651825,0,0,4912,0,0
2024-12-30,40013.429003715515,156182.22712993622,0,0,4912,0,0
2024-12-31,40013.429003715515,144295.18675518036,0,0,4912,0,0
2025-01-02,147340.6308774948,147340.6308774948,0,0,0,0,0
2025-01-03,147340.6308774948,147340.6308774948,0,0,0,0,0
2025-01-06,40037.68012905121,147340.6308774948,0,1404,1192,3039,0
2025-01-07,40037.68012905121,144969.73972702026,0,1404,1192,3039,0
2025-01-08,40037.68012905121,137342.13064670563,0,1404,1192,3039,0
2025-01-10,40034.30034351349,136659.07974910736,0,2049,1914,0,0
2025-01-13,131015.09014415741,131015.09014415741,0,0,0,0,0
2025-01-14,131015.09014415741,131015.09014415741,0,0,0,0,0
2025-01-15,40001.08864116669,131015.09014415741,0,0,0,7880,0
2025-01-16,40001.08864116669,130227.08713817596,0,0,0,7880,0
2025-01-17,40023.607588768005,134482.28683757782,0,1974,0,3940,0
2025-01-21,40045.14803314209,133445.5092420578,0,1209,996,2881,0
2025-01-22,40050.35791397095,138536.69659996033,0,1929,1441,0,0
2025-01-23,40044.86814022064,149307.76630210876,0,1316,939,2967,0
2025-01-24,40044.86814022064,158064.24624538422,0,1316,939,2967,0
2025-01-27,40044.86814022064,128698.90926647186,0,1316,939,2967,0
2025-01-28,128837.30640888214,128837.30640888214,0,0,0,0,0
2025-01-29,40022.508328437805,128837.30640888214,0,0,2516,0,0
2025-01-30,40022.508328437805,145468.06794452667,0,0,2516,0,0
2025-01-31,40022.508328437805,144713.26986408234,0,0,2516,0,0
2025-02-03,40022.508328437805,155582.38909626007,0,0,2516,0,0
2025-02-04,40022.508328437805,157997.74679279327,0,0,2516,0,0
2025-02-05,40022.508328437805,167080.5083284378,0,0,2516,0,0
2025-02-06,40064.26387500763,160186.66410541534,0,1616,838,3456,0
2025-02-07,40064.26387500763,169705.6873140335,0,1616,838,3456,0
2025-02-10,40064.26387500763,170564.4013185501,0,1616,838,3456,0
2025-02-11,40064.26387500763,163851.94517993927,0,1616,838,3456,0
2025-02-12,40048.762429237366,168540.94482135773,0,0,1181,4940,0
2025-02-13,20068.762429237366,169654.39061069489,0,0,1181,4940,555
2025-02-14,20016.263571739197,166823.13314533234,0,1926,930,3761,0
2025-02-18,20077.472610473633,165587.65418052673,0,1398,725,2806,771
2025-02-19,20033.971836090088,161780.4718360901,0,1783,0,3635,1027
2025-02-20,20033.971836090088,160865.75845623016,0,1783,0,3635,1027
2025-02-21,20021.69250392914,154407.87129116058,0,2780,0,0,1334
2025-02-24,20044.89660549164,147960.09258937836,0,0,0,0,2632
2025-02-25,20044.89660549164,146802.0162038803,0,0,0,0,2632
2025-02-26,20044.89660549164,142643.46142482758,0,0,0,0,2632
2025-02-27,20044.89660549164,138906.0162038803,0,0,0,0,2632
2025-02-28,143354.09258937836,143354.09258937836,0,0,0,0,0
2025-03-03,20059.480706214905,143354.09258937836,0,2633,0,0,1225
2025-03-04,20037.264401435852,139473.831032753,0,0,0,0,2453
2025-03-05,20037.264401435852,138934.17739582062,0,0,0,0,2453
2025-03-06,20043.045956611633,134101.76440143585,0,2548,0,0,1226
2025-03-07,141376.88576221466,141376.88576221466,0,0,0,0,0
2025-03-10,20006.88576221466,141376.88576221466,0,0,0,0,2290
2025-03-11,20006.88576221466,139453.2854127884,0,0,0,0,2290
2025-03-12,20019.08598423004,135514.48261737823,0,2352,0,0,1145
2025-03-13,20019.08598423004,131766.24512958527,0,2352,0,0,1145
2025-03-14,20022.4373960495,140341.42401981354,0,4917,0,0,0
2025-03-17,20046.458060264587,138964.6700220108,0,1639,1416,0,712
2025-03-18,20046.458060264587,136086.40652942657,0,1639,1416,0,712
2025-03-19,20015.053517341614,139716.30740833282,0,0,0,0,2125
2025-03-20,20052.74180316925,139461.301571846,0,1567,1433,0,708
2025-03-21,20052.74180316925,134706.35213184357,0,1567,1433,0,708
2025-03-24,20048.950114250183,137951.7038488388,0,0,0,0,2225
2025-03-25,20012.51045036316,136193.95181179047,0,0,2008,7850,0
2025-03-26,20012.51045036316,125636.97243499756,0,0,2008,7850,0
2025-03-27,118554.07013702393,118554.07013702393,0,0,0,0,0
2025-03-28,118554.07013702393,118554.07013702393,0,0,0,0,0
2025-03-31,118554.07013702393,118554.07013702393,0,0,0,0,0
2025-04-01,118554.07013702393,118554.07013702393,0,0,0,0,0
2025-04-02,118554.07013702393,118554.07013702393,0,0,0,0,0
2025-04-03,20005.43075942993,118554.07013702393,0,0,0,16316,0
2025-04-04,116922.47169303894,116922.47169303894,0,0,0,0,0
2025-04-07,116922.47169303894,116922.47169303894,0,0,0,0,0
2025-04-08,116922.47169303894,116922.47169303894,0,0,0,0,0
2025-04-09,116922.47169303894,116922.47169303894,0,0,0,0,0
2025-04-10,20021.67462158203,116922.47169303894,0,0,4265,0,0
2025-04-11,20021.67462158203,115984.17462158203,0,0,4265,0,0
2025-04-14,116197.42136764526,116197.42136764526,0,0,0,0,0
2025-04-15,116197.42136764526,116197.42136764526,0,0,0,0,0
2025-04-16,20031.11276435852,116197.42136764526,0,2697,2230,0,0
2025-04-17,114895.51174354553,114895.51174354553,0,0,0,0,0
2025-04-21,114895.51174354553,114895.51174354553,0,0,0,0,0
2025-04-22,114895.51174354553,114895.51174354553,0,0,0,0,0
2025-04-23,20003.9132270813,114895.51174354553,0,0,0,15556,0
2025-04-24,20024.83532524109,118006.71619415283,0,0,2014,7778,0
2025-04-25,20027.89569759369,118705.31456756592,0,1303,1039,3773,751
2025-04-28,20027.89569759369,118886.9650015831,0,1303,1039,3773,751
2025-04-29,20027.89569759369,118455.43495035172,0,1303,1039,3773,751
2025-04-30,20027.89569759369,115732.35602426529,0,1303,1039,3773,751
2025-05-01,20009.056674957275,117776.51412963867,0,2908,1858,0,0
2025-05-02,20049.885622501373,116570.49780273438,0,0,1226,4929,935
2025-05-05,20049.885622501373,114146.96563339233,0,0,1226,4929,935
2025-05-06,20021.124735355377,118856.59714746475,0,0,1724,0,1461
2025-05-07,20056.844966888428,117867.17796564102,0,0,1202,4965,932
2025-05-08,20056.844966888428,120826.71507883072,0,0,1202,4965,932
2025-05-09,20043.4141330719,123948.30652523041,0,1474,925,3691,688
2025-05-12,20043.4141330719,130716.17542076111,0,1474,925,3691,688
2025-05-13,20043.4141330719,136779.92235660553,0,1474,925,3691,688
2025-05-14,20043.4141330719,142391.27201604843,0,1474,925,3691,688
