date,ticker,delta_shares,price,cash_after
2024-11-29,BE,-2660,27.450000762939453,113023.22207641602
2024-11-29,IREN,5404,13.510000228881836,40015.180839538574
2024-12-02,BE,-929,26.920000076293945,65023.86091041565
2024-12-02,OKLO,2096,22.229999542236328,18429.781869888306
2024-12-02,IREN,-1711,12.619999885559082,40022.601674079895
2024-12-03,BE,855,26.139999389648438,17672.90219593048
2024-12-03,OKLO,-2096,20.1299991607666,59865.38043689728
2024-12-03,IREN,1535,12.930000305175781,40017.82996845245
2024-12-09,BE,-773,26.579999923706055,60564.169909477234
2024-12-09,OKLO,2399,20.09000015258789,12368.259543418884
2024-12-09,IREN,-1906,14.510000228881836,40024.31997966766
2024-12-10,BE,980,23.469999313354492,17023.72065258026
2024-12-10,OKLO,-2399,18.420000076293945,61213.300835609436
2024-12-10,IREN,1586,13.359999656677246,40024.341380119324
2024-12-11,BE,-2793,23.600000381469727,105939.14244556427
2024-12-11,IREN,-4908,13.609999656677246,172737.0207605362
2024-12-12,IREN,9883,13.430000305175781,40008.32774448395
2024-12-13,IREN,-9883,13.109999656677246,169574.45435142517
2024-12-16,BE,4955,26.149999618530273,40001.206241607666
2024-12-17,BE,-2478,24.770000457763672,101381.26737594604
2024-12-17,IREN,4469,13.729999542236328,40021.899421691895
2024-12-18,BE,-2477,23.459999084472656,98132.31715393066
2024-12-18,IREN,4792,12.130000114440918,40005.356605529785
2024-12-19,IREN,-9261,11.414999961853027,145719.67125225067
2024-12-20,OKLO,4912,21.520000457763672,40013.429003715515
2025-01-02,OKLO,-4912,21.850000381469727,147340.6308774948
2025-01-06,BE,1404,25.479999542236328,111566.71152019501
2025-01-06,OKLO,1192,30.0,75806.71152019501
2025-01-06,IREN,3039,11.770000457763672,40037.68012905121
2025-01-10,BE,645,23.579999923706055,24828.580178260803
2025-01-10,OKLO,722,25.239999771118164,6605.300343513489
2025-01-10,IREN,-3039,11.0,40034.30034351349
2025-01-13,BE,-2049,23.030000686645508,87222.77175045013
2025-01-13,OKLO,-1914,22.8799991607666,131015.09014415741
2025-01-15,IREN,7880,11.550000190734863,40001.08864116669
2025-01-17,BE,1974,23.920000076293945,-7216.991509437561
2025-01-17,IREN,-3940,11.989999771118164,40023.607588768005
2025-01-21,BE,-765,25.75,59722.357588768005
2025-01-21,OKLO,996,31.25,28597.357588768005
2025-01-21,IREN,-1059,10.8100004196167,40045.14803314209
2025-01-22,BE,720,25.530000686645508,21663.547538757324
2025-01-22,OKLO,445,34.16999816894531,6457.89835357666
2025-01-22,IREN,-2881,11.65999984741211,40050.35791397095
2025-01-23,BE,-613,27.670000076293945,57012.067960739136
2025-01-23,OKLO,-502,38.779998779296875,76479.62734794617
2025-01-23,IREN,2967,12.279999732971191,40044.86814022064
2025-01-28,BE,-1316,20.399999618530273,66891.26763820648
2025-01-28,OKLO,-939,34.119998931884766,98929.94663524628
