date,ticker,delta_shares,price,cash_after
2025-06-17,OKLO,388,62.77000045776367,-48717.807161808014
2025-06-17,IREN,2497,9.770000457763672,-73113.4983048439
2025-06-17,SNDK,-1660,44.09000015258789,75.90194845199585
2025-06-18,BE,-1143,21.5,24650.401948451996
2025-06-18,OKLO,-388,62.02000045776367,48714.1621260643
2025-06-18,IREN,7601,9.800000190734863,-25775.639323711395
2025-06-18,SNDK,-553,46.619998931884766,5.220085620880127
2025-06-20,BE,1620,21.75,-35229.77991437912
2025-06-20,IREN,-6732,10.470000267028809,35254.26188325882
2025-06-20,SNDK,756,46.58000183105469,39.78049898147583
2025-06-23,BE,3165,22.559999465942383,-71362.61781072617
2025-06-23,IREN,-3366,10.65999984741211,-35481.058324337006
2025-06-23,SNDK,-756,46.95000076293945,13.142252445220947
2025-06-24,BE,-4785,22.950000762939453,109828.8959031105
2025-06-24,SNDK,2320,47.34000015258789,0.09554910659790039
2025-06-25,BE,2537,21.600000381469727,-54799.1054186821
2025-06-25,SNDK,-1160,47.25,10.894581317901611
2025-06-26,BE,-2537,22.329999923706055,56662.10438776016
2025-06-26,OKLO,999,55.849998474121094,867.9559121131897
2025-06-26,IREN,4259,13.109999656677246,-54967.5326256752
2025-06-26,SNDK,-1160,47.439998626708984,62.86578130722046
2025-06-27,BE,1726,22.18000030517578,-38219.81474542618
2025-06-27,OKLO,-999,55.2599983215332,16984.923577785492
2025-06-27,IREN,-1524,14.0,38320.92357778549
2025-06-27,SNDK,812,47.150001525878906,35.12233877182007
2025-06-30,BE,-1726,23.920000076293945,41321.04247045517
2025-06-30,OKLO,702,55.9900016784668,2016.0612921714783
2025-06-30,IREN,-36,14.569999694824219,2540.58128118515
2025-06-30,SNDK,55,45.349998474121094,46.33136510848999
2025-07-02,BE,1312,22.559999465942383,-29552.387934207916
2025-07-02,OKLO,-126,51.33000183105469,-23084.807703495026
2025-07-02,IREN,-809,15.65999984741211,-10415.86782693863
2025-07-02,SNDK,-227,46.209999084472656,73.80196523666382
2025-07-03,BE,-1312,24.239999771118164,31876.681664943695
2025-07-03,OKLO,-576,53.720001220703125,62819.402368068695
2025-07-03,IREN,5500,16.81999969482422,-29690.595953464508
2025-07-03,SNDK,-640,46.40999984741211,11.803948879241943
2025-07-08,BE,2568,24.299999237060547,-62390.59409189224
2025-07-08,IREN,-3695,16.889999389648438,17.95365285873413
2025-07-09,BE,-2568,28.709999084472656,73745.23130178452
2025-07-09,OKLO,843,53.93000030517578,28282.24104452133
2025-07-09,IREN,-1014,16.959999084472656,45479.680116176605
2025-07-09,SNDK,984,46.20000076293945,18.87936544418335
2025-07-10,OKLO,-843,55.45000076293945,46763.23000860214
2025-07-10,IREN,5458,17.030000686645508,-46186.51373910904
2025-07-10,SNDK,-984,46.95000076293945,12.287011623382568
2025-07-11,BE,1733,25.399999618530273,-44005.91232728958
2025-07-11,IREN,-5426,16.229999542236328,44058.065188884735
2025-07-11,SNDK,955,46.09000015258789,42.11504316329956
2025-07-14,BE,3370,25.959999084472656,-87443.08187150955
2025-07-14,IREN,-2713,17.280000686645508,-40562.44000864029
2025-07-14,SNDK,-955,42.47999954223633,5.959554195404053
2025-07-15,BE,-5103,25.309999465942383,129162.88682889938
2025-07-15,IREN,7651,16.8799991607666,14.01324987411499
2025-07-16,BE,1341,24.690000534057617,-33095.27746629715
2025-07-16,OKLO,514,64.37000274658203,-66181.45887804031
2025-07-16,IREN,-5739,17.309999465942383,33160.62805700302
2025-07-16,SNDK,800,41.36000061035156,72.62756872177124
2025-07-17,BE,1434,24.309999465942383,-34787.911665439606
2025-07-17,OKLO,-514,67.16999816894531,-262.5326066017151
2025-07-17,IREN,1825,18.049999237060547,-33203.78121423721
2025-07-17,SNDK,-800,41.52000045776367,12.219151973724365
2025-07-18,BE,-956,24.989999771118164,23902.65893316269
2025-07-18,OKLO,659,68.9800033569336,-21555.16327905655
2025-07-18,IREN,-1203,17.940000534057617,26.657363414764404
2025-07-21,BE,-1819,25.360000610351562,46156.49847364426
