date,cash,total_value,shares_BMNR,shares_BE,shares_OKLO,shares_IREN,shares_SNDK
2025-02-21,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-02-24,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-02-25,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-02-26,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-02-27,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-02-28,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-03,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-04,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-05,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-06,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-07,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-10,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-11,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-12,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-13,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-14,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-17,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-18,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-19,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-20,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-21,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-24,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-25,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-26,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-27,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-28,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-03-31,107796.55973815918,107796.55973815918,0,0,0,0,0
2025-04-01,78567.61857366562,107796.55973815918,0,1377,1298,-4407,0
2025-04-02,136422.98051786423,107323.13971090317,0,1378,-1282,-4305,0
2025-04-03,79333.2308011055,109008.32167482376,0,1534,-1355,4912,0
2025-04-04,79333.2308011055,107145.91270112991,0,1534,-1355,4912,0
